naam,functie,geslacht,geboortedatum,overlijdensdatum,doel,bestemming,van,tot_en_met,betaald_door
Ine Aasted-Madsen-van Stiphout (J.D.M.P.),Oud Kamerlid,vrouw,1961-05-23,,Conferentie over gezinsbeleid.,Litouwen,2006-03-30,2006-03-31,Beneluxraad.
Ine Aasted-Madsen-van Stiphout (J.D.M.P.),Oud Kamerlid,vrouw,1961-05-23,,WEU rapporteur samenwerking EU/NAVO.,"Sarajevo, Bosnië-Herzegovina",2009-10-07,2009-10-09,Tweede Kamer der Staten-Generaal.
Ine Aasted-Madsen-van Stiphout (J.D.M.P.),Oud Kamerlid,vrouw,1961-05-23,,Plenaire Vergadering WEU-Assemblee.,"Parijs, Frankrijk",2009-06-01,2009-06-04,Tweede Kamer der Staten-Generaal
Ine Aasted-Madsen-van Stiphout (J.D.M.P.),Oud Kamerlid,vrouw,1961-05-23,,Bijwonen AVVN,"New York, Verenigde Staten",2009-10-18,2009-10-23,Tweede Kamer der Staten-Generaal.
Fleur Agema (M.),Tweede Kamerlid,vrouw,1976-09-16,,Bijwonen AVVN,"New York, Verenigde Staten",2009-10-18,2009-10-23,Tweede Kamer der Staten-Generaal.
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,VN-conferentie over wapenhandel.,"New York, Verenigde Saten",2006-06-25,2006-07-09,Ministerie van Buitenlandse Zaken.
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,OVSE PA.,"Wenen, Oostenrijk",2005-02-23,2005-02-25,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,Raad van Europa,"Straatsburg, Frankrijk",2012-04-23,2012-04-27,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,OVSE Annual Session.,Verenigde Staten,2005-06-30,2005-07-06,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Tunesië,2012-02-19,2012-02-22,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,OVSE.,"Kopenhagen, Denemarken",2005-04-17,2005-04-18,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,Commissie Defensie.,Irak,2005-02-02,2005-02-04,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,Symposium Ankara op 20-12-2005 over civiel-militaire betrekkingen. Aansluitend privé.,"Ankara, Turkije",2005-12-17,2006-01-16,Vlucht door het Centre for European Security Studies (CESS). Aansluiten voor eigen rekening.
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,Commissie Defensie.,Afghanistan,2005-01-12,2005-01-14,Tweede Kamer der Staten-Generaal
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,11e Duits-Turls symposium.,"Hamburg, Duitsland",2005-04-15,2005-04-17,Körber Stigtung Hamburg
Nebahat Albayrak (N.),Oud Kamerlid,vrouw,1968-04-10,,OVSE PA verkiezingswaarneming.,Kazachstan,2012-01-13,2012-01-16,Tweede Kamer der Staten-Generaal
Rendert Algra (R.H.),Oud Kamerlid,man,1963-10-05,,Internationale Arbeidsconferentie.,"Genève, Zwitserland",2006-06-05,2006-06-07,Tweede Kamer der Staten-Generaal.
Rendert Algra (R.H.),Oud Kamerlid,man,1963-10-05,,Divers: onder andere oriëntatie Amerikaans politiebestel.,Verenigde Staten,2005-04-06,2005-04-14,Voor eigen rekening.
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek met de vaste commissie voor Infrastructuur en Waterstaat aan een waterstoffabriek,"Mainz, Duitsland",2019-01-10,2019-01-11,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,,,,,
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Bangladesh,2023-02-25,2023-03-03,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Colombia,2019-05-04,2019-05-12,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,"Libanon, Beiroet",2017-10-13,2017-10-17,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Interparlementair Koninkrijksoverleg (IPKO),Bonaire en Curacao,2017-01-06,2017-01-14,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,St-Gerlach conferentie,"Valkenburg aan de Geul, Limburg",2022-06-10,2022-06-10,Konrad Adenauer Stiftung (KAS)
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,"Brussel, België",2022-06-22,2022-06-24,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,"Washington, Verenigde Staten",2019-04-06,2019-04-09,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,"Werkbezoek met de vaste commissie voor Infrastructuur en Waterstaat aan de Britse
Spoorwegpolitie en Eurostar","Londen, Verenigd Koninkrijk",2018-10-07,2018-10-08,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek,Estland,2016-10-20,2016-10-22,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,St-Gerlach conferentie,"Valkenburg aan de Geul, Limburg",2021-10-30,2021-10-30,Konrad Adenauer Stiftung (KAS)
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Marokko,2020-02-24,2020-02-27,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Rwanda,2022-07-13,2022-07-19,Tweede Kamer der Staten-Generaal
Mustafa Amhaouch (M.),Tweede Kamerlid,man,1970-06-27,,Werkbezoek vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,Ethiopie en Oeganda,2018-07-08,2018-07-15,Tweede Kamer der Staten-Generaal
Ed Anker (E.W.),Oud Kamerlid,man,1978-06-30,,Conferentie INLIA over uitgangspunten voor Europees Asielbeleid.,"Volterra, Italië",2007-11-08,2007-11-12,Tweede Kamer der Staten-Generaal.
Ed Anker (E.W.),Oud Kamerlid,man,1978-06-30,,Werkbezoek vaste commissie voor Justitie.,"New York, Verenigde Staten",2008-10-12,2008-10-18,Tweede Kamer der Staten-Generaal.
Charlie Aptroot (Ch.B.),Oud Kamerlid,man,1950-09-20,,Houden van een speech voor de Dutch Business Club.,"Marbella, Spanje",2008-10-10,2008-10-11,De Dutch Business Club.
Charlie Aptroot (Ch.B.),Oud Kamerlid,man,1950-09-20,,Werkbezoek vaste commissie voor de Rijksuitgaven.,"Luxemburg en Straatsburg, Frankrijk",2008-03-10,2008-03-11,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,"Mensenrechten, Waarheidscommissie.",Marokko,2005-09-30,2005-10-03,Instance Equiité et Réconciliation Royanne du Marok.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Parlementaire Assemblee van de Raad van Europa,Marokko,2013-03-12,2013-03-19,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Werkbezoek tijdelijke commissie LURA,Bulgarije en Roemenië,2011-08-21,2011-08-26,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Nederlands- Franse samenwerkingsraad.,Frankrijk,2008-05-31,2008-06-02,Ministerie van Buitenlandse Zaken.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Werkbezoek vaste commissie voor Buitenlandse Zaken,Cuba,2015-10-18,2015-10-26,Tweede Kamer der Staten Generaal
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Opening Tentoonstelling Hongaarse Kindertreinen,Hongarije,2022-03-24,2022-03-27,Voor eigen rekening
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Parlementaire Assemblee Raad van Europa plenair,"Straatsburg, Frankrijk",2011-06-20,2011-06-21,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Conseil Consultatif des droits de l' Hommes,Marokko,2007-03-22,2007-03-26,Conseil Consultatif des droits de l' Hommes
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Raad van Europa.,"Straatsburg, Frankrijk",2011-01-26,2011-01-27,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,EMPA,Marokko,2012-03-23,2012-03-26,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Raad van Europa,"Straatsburg, Frankrijk",2012-06-25,2012-06-29,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Vrouwelijke voorzittersconferentie,Abu Dhabi,2016-12-10,2016-12-12,Tweede Kamer der Staten-Generaal
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Parlementaire Assemblee Raad van Europa plenair,"Straatsburg, Frankrijk",2011-04-11,2011-04-15,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Bijeenkomst politiek comité Raad van Europa,"Brussel, België",2015-12-07,2015-12-07,Tweede Kamer der Staten-Generaal
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Artikel 13 conferentie in het kader van EU-Voorzitterschap,"Brussel, België",2016-02-16,2016-02-17,Tweede Kamer der Staten-Generaal
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Voorzittersconferentie,Luxemburg,2016-05-23,2016-05-23,Tweede Kamer der Staten-Generaal
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Raad van Europa,"Straatsburg, Frankrijk",2012-01-23,2012-01-27,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Raad van Europa,Jordanië,2013-07-05,2013-07-07,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Contactgroep Frankrijk.,Frankrijk,2009-10-20,2009-10-21,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Raad van Europa,"Straatsburg, Frankrijk",2015-06-21,2015-06-23,Tweede Kamer der Staten Generaal
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,EMPA.,Amman,2010-03-12,2010-03-15,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Raad van Europa,"Straatsburg, Frankrijk",2013-04-23,2013-04-26,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,"Bezoek aan Belgisch federale parlement, Vlaams parlement en Waals parlement",België,2017-01-10,2017-01-10,Tweede Kamer der Staten-Generaal
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Raad van Europa,"Straatsburg, Frankrijk",2014-01-27,2014-01-29,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Verkiezingswaarneming,Marokko,2011-11-20,2011-11-27,Raad van Europa.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,PACE,"Straatsburg, Frankrijk",2014-04-07,2014-04-09,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,PA-UfM Committee on Women's Rights,Spanje,2013-11-28,2013-11-29,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Conseil Consultatif des droits de l' Hommes,Marokko,2007-04-27,2007-05-02,Conseil Consultatif des droits de l' Hommes
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Raad van Europa,"Straatsburg, Frankrijk",2012-04-23,2012-04-27,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Raad van Europa,"Jordanië, Palestina en Israël",2013-04-05,2013-04-12,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Mensenrechten/vrouwenrechten in Marokko,"Madrid, Spanje",2006-06-16,2006-06-18,Voor eigen rekening.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,IPU,"New York, Verenigde Staten",2013-11-10,2013-11-16,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,PvdA-delegatie.,Marokko,2005-10-16,2005-10-19,Partijbureau PvdA
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,EMPA,"Rome, Italië",2011-03-02,2011-03-08,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Congres.,Marokko,2005-06-06,2005-06-10,Partijbureau PvdA en Laffeber.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,EMPA.,België,2010-09-30,2010-09-30,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Voorzittersconferentie,"Wenen, Oostenrijk",2019-04-07,2019-04-09,Reis betaald door Tweede Kamer der Staten-Generaal. Vervoer door organisatie en ambassade.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,EMPA.,Jordanië,2008-10-10,2008-10-16,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Vrouwen en emigratie,Marokko,2009-12-18,2009-12-19,CCME (Conceil de la communauté marocaine á l'étranger)
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,PA RvE,"Straatsburg, Frankrijk",2014-06-23,2014-06-26,Tweede Kamer der Staten Generaal
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,AVVN,"New York, Verenigde Staten",2011-10-16,2011-10-22,Tweede Kamer der Staten-Generaal.
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Positie Marokkaanse Migranten in Europa,Marokko,2006-11-03,2006-11-06,L' Instance Equite et Reconciliation & le Conseil des droits de l' Homme
Khadija Arib (K.),Oud Kamerlid,vrouw,1960-10-10,,Nederlands- Franse samenwerkingsraad.,Frankrijk,2009-06-29,2009-06-30,Tweede Kamer der Staten-Generaal.
Tamara van Ark (T.),Oud Kamerlid,vrouw,1974-08-11,,Dialoog tussen Europese en Arabische liberalen op een hoger (d.w.z. geïnstitutionaliseerd) plan te brengen,"Cairo, Egypte",2014-05-17,2014-05-19,MATRA politieke partijen programma
Tamara van Ark (T.),Oud Kamerlid,vrouw,1974-08-11,,Geven van training over coalitievorming.,Georgië,2013-05-06,2013-05-10,NIMD.
Tamara van Ark (T.),Oud Kamerlid,vrouw,1974-08-11,,Bijwonen AVVN.,"New York, Verenigde Staten",2012-11-14,2012-11-20,Tweede Kamer der Staten-Generaal.
Tamara van Ark (T.),Oud Kamerlid,vrouw,1974-08-11,,Bezoek aan ALDE-congres.,"Londen, Verenigd Koninkrijk",2013-11-29,2013-11-30,VVD internationaal.
Tamara van Ark (T.),Oud Kamerlid,vrouw,1974-08-11,,"Bijeenkomst Liberal International, deelnemer aan paneldiscussie.","Genève, Zwitserland",2015-06-14,2015-06-15,VVD internationaal.
Tamara van Ark (T.),Oud Kamerlid,vrouw,1974-08-11,,Bezoek aan ALDE-congres.,"Wenen, Oostenrijk",2014-05-01,2014-05-03,VVD internationaal.
Tamara van Ark (T.),Oud Kamerlid,vrouw,1974-08-11,,Het geven van een training aan toekomstige vrouwelijke gemeenteraadsleden in het kader van de aanstaande gemeenteraadsverkiezingen. Daarnaast is een aantal bezoeken afgelegd aan liberale partners.,"Rabat, Marokko",2015-02-14,2015-02-16,VVD internationaal.
Gerard Van As (G.P.),Oud Kamerlid,man,1944-11-12,,,(nog) geen opgave,,,
Lodewijk Asscher (L.F.),Oud Kamerlid,man,1974-09-27,,Werkbezoek vaste commissie voor Europese Zaken,"Londen, Verenigd Koninkrijk",2019-02-18,2019-02-18,Tweede Kamer der Staten-Generaal
Lodewijk Asscher (L.F.),Oud Kamerlid,man,1974-09-27,,Global Progress 2018 Summit happening in Montreal,Canada,2018-09-22,2018-09-24,Internationaal secretariaat
Lodewijk Asscher (L.F.),Oud Kamerlid,man,1974-09-27,,PES Council,"Madrid, Spanje",2019-02-22,2019-02-23,PES
Lodewijk Asscher (L.F.),Oud Kamerlid,man,1974-09-27,,Werkbezoek vaste commissie voor Europese Zaken in het kader van Brexit,"Brussel, België",2018-04-09,2018-04-09,Tweede Kamer der Staten-Generaal
Lodewijk Asscher (L.F.),Oud Kamerlid,man,1974-09-27,,PES congres,"Lissabon, Portugal",2018-12-07,2018-12-08,Internationaal secretariaat PvdA
Lodewijk Asscher (L.F.),Oud Kamerlid,man,1974-09-27,,Werkbezoek PvdA Europees Parlement,"Brussel, België",2020-01-20,2020-01-20,Internationaal secretariaat PvdA
Lodewijk Asscher (L.F.),Oud Kamerlid,man,1974-09-27,,PES,"Madrid, Spanje",2018-10-01,2018-10-02,Internationaal secretariaat PvdA
Lodewijk Asscher (L.F.),Oud Kamerlid,man,1974-09-27,,Global Progress Strategist Network,Denemarken,2018-04-12,2018-04-12,Internationaal secretariaat
Lodewijk Asscher (L.F.),Oud Kamerlid,man,1974-09-27,,Seminar: Investing in the future: Progressive Public Spending,"Lissabon, Portugal",2018-06-29,2018-06-30,Policy Netword
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Vergadering UCI (Wielrennen).,"Lissabon, Portugal",2006-05-18,2006-05-18,UCI.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,WK-wielrennen en vergadering UCI.,Mendrisio,2009-09-23,2009-09-24,UCI.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Bestuur internationale wielerbond,"Kaapstad, Zuid-Afrika",2007-06-22,2007-06-26,UCI
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,IPU bezoek.,Bangkok,2010-03-25,2010-04-02,IPU.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Vergadering UCI.,"Lausanne, Zwitserland",2009-06-18,2009-06-18,UCI.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,IPU-vergadering.,"Geneve, Zwitserland",2008-10-12,2008-10-15,IPU.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Vergadering UCI,Denemarken,2008-06-12,2008-06-12,UCI.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,"Werkbezoek vaste commissie voor Landbouw, Natuur en Voedselkwaliteit.","Parijs, Frankrijk",2008-10-15,2008-10-17,Tweede Kamer der Staten-Generaal.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Wereldkampioenschap wielrennen en vergadering UCI,"Stuttgart, Duitsland",2007-09-25,2007-09-27,UCI
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Werkbezoek,Verenigde Staten,2009-05-09,2009-05-15,"Ministerie van Landbouw, Natuur en Voedselkwaliteit."
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Vergadering UCI (Wielrennen).,"Madrid, Spanje",2005-09-22,2005-09-26,UCI en KNWU.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,IPU-vergadering,Zuid-Afrika,2008-04-13,2008-04-18,IPU
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Werkbezoek parlementaire delegatie,Japan,2007-01-12,2007-01-17,Tweede Kamer der Staten-Generaal
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Vergadering UCI (bestuurslid)/congres.,"Salzbrug, Oostenrijk",2006-09-19,2006-09-21,UCI.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,UCI.,Zuid-Afrika,2006-03-09,2006-03-12,UCI.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Vergadering UCI.,"Varese en Milaan, Italië",2008-09-24,2008-09-25,UCI.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Jaarconferentie IPU,"Bali, Indonesië",2007-04-27,2007-05-05,IPU
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,Wereldkampioenschap wielrennen,"Venetië en Treviso, Italië",2008-01-24,2008-01-27,UCI.
Joop Atsma (J.J.),Eerste Kamerlid,man,1956-07-06,,IPU reis,"Geneve, Zwitserland",2007-10-08,2007-10-10,IPU
Farid Azarkan (F.),Tweede Kamerlid,man,1971-10-16,,Werkbezoek met de vaste commissie voor Financiën,Japan,2019-07-06,2019-07-13,Tweede Kamer der Staten-Generaal
Farid Azarkan (F.),Tweede Kamerlid,man,1971-10-16,,Werkbezoek,Suriname,2017-10-13,2017-10-18,Tickets en hotel via de St. Ondersteuning Tweede Kamerfractie DENK
Farid Azarkan (F.),Tweede Kamerlid,man,1971-10-16,,Werkbezoek,"Europa (onder andere Brussel, Srebrenica en Svilengrad)",2019-04-29,2019-05-02,Stichting Ondersteuning Tweede Kamerfractie DENK
Farid Azarkan (F.),Tweede Kamerlid,man,1971-10-16,,Werkbezoek,"Curaçao, Bonaire en Sint-Maarten",2018-10-23,2018-10-27,Stichting Ondersteuning Tweede Kamerfractie DENK
Farid Azarkan (F.),Tweede Kamerlid,man,1971-10-16,,Werkbezoek met de vaste commissie voor Financiën,"Rome en Milaan, Italië",2019-05-08,2019-05-10,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Europese Zaken,"Tallinn, Estland",2015-05-07,2015-05-08,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,ALDE Party Congress,"Madrid, Spanje",2018-11-07,2018-11-10,VVD Internationaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Europese Zaken,Macedonië,2016-02-28,2016-02-29,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek met VNGi,Jordanië,2016-04-09,2016-04-11,Reiskosten + logies door VVD
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,PACE,"Straatsburg, Frankrijk",2013-04-22,2013-04-24,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Europese Zaken,Griekenland,2016-02-25,2016-02-28,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,COSAC Plenair,Malta,2017-05-28,2017-05-30,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,COSAC Chairs,"Sofia, Bulgarije",2018-06-17,2018-06-19,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Europese Zaken,Finland,2016-10-18,2016-10-19,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek VVD Internationaal,"Lille, Frankrijk",2019-04-12,2019-04-12,VVD Internationaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,COSAC Chairs,"Sofia, Bulgarije",2018-01-21,2018-01-21,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Europese Zaken,"Warschau, Polen",2015-05-06,2015-05-07,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,ALDE Council Meeting,"Berlijn, Duitsland",2019-02-09,2019-02-09,VVD Internationaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Europese Zaken,"Brussel, België",2018-06-04,2018-06-04,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Europese Zaken,"Londen, Engeland",2016-03-20,2016-03-21,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Europese Zaken,"Brussel, België",2015-01-18,2015-01-19,"Tweede Kamer der Staten-Generaal, reiskosten voor eigen rekening"
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Veiligheid en Justitie,Ethiopië,2016-10-20,2016-10-25,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,COSAC Chairs,"Bratislava, Slowakije",2016-07-10,2016-07-11,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,COSAC Chairs,"Tallinn, Estland",2017-07-09,2017-07-10,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek met VNGi,Libanon,2016-04-07,2016-04-09,Reiskosten + logies door VVD
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Sociale Zaken en Werkgelegenheid,"Berlijn, Duitsland",2011-09-11,2011-09-12,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Europese Zaken,Noorwegen,2016-10-16,2016-10-18,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,COSAC Plenair,Luxemburg,2015-11-29,2015-12-01,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,COSAC plenair,"Riga, Letland",2015-05-31,2015-06-02,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Parliamentary Assembly of the Council of Europe (PACE),"Straatsburg, Frankrijk",2015-06-21,2015-06-24,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Justitie en Veiligheid,Tunesië en Libië,2018-10-21,2018-10-26,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek vaste commissie voor Europese Zaken,"Westelijke Balkan (Albanië, Montenegro en Servië)",2018-05-06,2018-05-09,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,COSAC Plenair,"Bratislava, Slowakije",2016-11-13,2016-11-15,Tweede Kamer der Staten-Generaal
Malik Azmani (M.),Oud Kamerlid,man,1976-01-20,,Werkbezoek partijcie. VVD SZW,"Berlijn, Duitsland",2012-10-19,2012-10-20,VVD
